session_id,player_id,game_id,play_time_minutes,score
192,3992,17,153,855
193,2471,5,25,338
194,939,6,55,822
195,4900,10,83,388
196,4007,43,63,493
197,1936,2,6,168
198,634,7,162,824
199,1254,46,62,52
200,1083,4,24,933
201,2144,37,172,256
202,1286,19,161,571
203,354,28,137,221
204,1886,20,93,587
205,1819,30,142,45
206,2521,42,109,259
207,4009,38,116,14
208,3023,2,133,848
209,2585,3,179,627
210,1548,47,102,11
211,4019,42,18,0
212,4205,49,157,76
213,1369,39,25,541
214,3338,25,20,713
215,1758,2,164,995
216,1518,39,177,901
217,4918,15,68,840
218,3485,3,88,49
219,3686,5,77,641
220,3053,40,64,5
221,2697,36,102,74
222,191,50,151,345
223,933,40,51,859
224,4238,38,162,332
225,3239,37,51,677
226,2216,27,37,843
227,566,5,25,850
228,1135,17,99,273
229,744,38,67,509
230,673,45,46,914
231,2912,41,109,667
232,531,12,130,267
233,3022,42,119,479
234,562,31,47,307
235,302,33,72,716
236,3768,43,30,755
237,4281,29,165,598
238,510,38,112,611
239,3446,3,37,697
240,2204,38,53,221
241,2835,41,88,277
242,795,40,45,357
243,2480,30,40,684
244,1524,47,99,317
245,4857,22,123,41
246,2195,38,154,66
247,2529,32,179,904
248,435,43,87,191
249,2039,10,24,142
250,1707,32,91,925
251,69,43,156,153
252,1905,4,130,93
253,3960,29,175,196
254,2952,45,104,377
255,4650,8,77,606
256,2714,20,20,382
257,3370,47,31,760
258,4596,7,49,533
259,3728,1,169,565
260,2405,25,17,488
261,3326,26,6,636
262,3547,9,80,825
263,2304,23,109,718
264,3682,40,101,692
265,3222,2,91,866
266,4375,26,63,786
267,1083,14,18,161
268,446,44,107,465
269,4932,31,34,397
270,4851,26,114,277
271,1593,49,102,471
272,2776,19,13,140
273,3817,38,28,634
274,3054,5,116,703
275,1591,6,45,567
276,2232,35,36,967
277,1562,16,179,809
278,4273,31,25,246
279,3647,18,174,833
280,4943,14,74,702
281,3239,25,115,169
282,1601,15,93,218
283,2057,26,6,33
284,4332,36,163,284
285,710,11,60,409
286,2972,37,162,406
287,2733,41,19,35
288,794,37,22,373
289,3100,7,36,264
290,2856,18,18,852
291,27,50,56,297
292,3268,20,26,739
293,85,2,18,578
294,3102,26,38,6
295,1123,23,90,22
296,12,32,60,415
297,1749,13,67,534
298,3110,13,148,271
299,1877,17,84,68
300,2620,25,44,12
301,180,22,42,265
302,797,27,150,759
303,3814,17,27,570
304,2025,26,114,257
305,3218,38,52,719
306,887,14,86,947
307,2469,14,178,640
308,3388,12,117,709
309,1520,5,26,821
310,2433,37,129,274
311,4867,4,58,96
312,917,29,44,27
313,2071,25,34,644
314,3977,45,46,843
315,1782,4,174,413
316,339,50,131,976
317,1517,16,86,786
318,2871,50,57,103
319,3583,2,5,41
320,915,23,110,664
321,3291,4,31,290
322,4571,20,21,520
323,1447,17,67,735
324,1380,6,132,38
325,1484,18,173,439
326,2075,20,125,37
327,801,39,126,782
328,1247,45,131,108
329,4960,41,170,429
330,2738,34,126,420
331,3496,40,70,345
332,4835,46,177,380
333,3258,24,27,503
334,3878,18,152,571
335,982,30,40,573
336,2477,1,174,509
337,2089,23,154,542
338,2953,29,15,29
339,1012,41,32,577
340,3465,41,49,774
341,2751,32,128,157
342,2127,2,126,160
343,4813,48,154,367
344,3862,36,85,358
345,2592,45,163,622
346,1474,17,15,549
347,2522,43,40,723
348,1166,2,82,402
349,3323,4,39,648
350,610,44,131,853
351,2184,34,155,927
352,2532,1,33,669
353,2862,23,155,133
354,4651,6,128,700
355,1656,16,20,976
356,1756,2,107,676
357,46,46,88,590
358,1260,12,151,251
359,4639,27,100,966
360,3233,19,54,205
361,1452,28,47,147
362,2119,35,23,507
363,2568,43,117,797
364,1993,4,125,529
365,3124,49,22,190
366,2341,49,138,956
367,4908,7,39,184
368,1489,37,18,405
369,1574,25,68,216
370,4963,41,141,87
371,2428,17,167,606
372,1767,41,6,432
373,3550,14,10,273
374,2310,37,103,993
375,4676,2,125,60
376,2405,24,157,81
377,1443,15,77,77
378,4794,48,139,707
379,1977,33,67,902
380,3974,12,160,902
381,2491,19,6,320
382,726,47,69,551
383,3804,5,105,883
384,4382,1,156,535
385,3828,43,42,671
386,4666,9,66,265
387,3620,39,123,648
388,2888,34,56,38
389,498,29,114,898
390,3977,49,78,107
391,705,48,102,738
392,4658,48,67,580
393,4128,46,143,262
394,3682,2,52,395
395,4139,19,105,278
396,1917,28,78,856
397,1375,35,42,958
398,1846,40,140,528
399,4655,48,10,333
400,1437,22,72,226
401,3091,4,138,191
402,1371,8,115,320
403,1929,1,36,341
404,1637,36,42,27
405,92,7,119,313
406,1844,25,113,214
407,185,29,68,17
408,4824,1,58,109
409,1572,18,117,632
410,832,4,18,492
411,4441,20,68,811
412,2126,46,179,575
413,4263,8,58,548
414,264,27,23,514
415,1287,50,171,269
416,1530,39,130,998
417,1809,35,64,134
418,1878,25,165,511
419,1750,14,36,400
420,1910,44,40,965
421,2624,47,156,494
422,1198,40,175,82
423,2479,31,50,718
424,4864,5,179,678
425,2511,17,18,644
426,101,10,177,78
427,3088,43,122,307
428,1920,16,54,620
429,2292,48,69,25
430,3321,4,81,166
431,105,5,68,684
432,694,42,27,844
433,3241,46,129,542
434,3492,41,88,460
435,3393,50,74,150
436,4914,20,77,39
437,2269,6,96,799
438,3784,11,78,868
439,3513,17,158,771
440,890,41,48,592
441,790,3,80,339
442,4649,16,145,173
443,4940,36,123,586
444,659,26,44,553
445,1019,24,8,96
446,1954,47,133,166
447,1191,34,10,197
448,3707,20,59,614
449,3658,17,70,439
450,4847,20,122,558
451,2297,16,150,677
452,775,49,33,529
453,2812,4,57,513
454,1381,18,165,616
455,3183,36,135,101
456,4788,35,152,181
457,4815,30,136,720
458,4330,18,86,855
459,3098,21,140,413
460,1405,32,109,490
461,3802,5,90,215
462,1370,41,87,771
463,2065,23,160,518
464,2293,30,77,718
465,2766,27,103,568
466,2818,15,30,541
467,717,41,38,250
468,4041,14,75,732
469,1712,21,98,752
470,1226,34,93,683
471,9,26,31,244
472,598,25,37,204
473,4119,50,76,487
474,1609,45,53,742
475,3032,31,67,924
476,3668,48,164,857
477,2247,6,23,35
478,3627,48,26,98
479,4072,4,94,368
480,2823,24,71,943
481,92,42,141,914
482,851,31,167,958
483,1108,19,75,257
484,300,11,83,500
485,2344,29,136,653
486,1478,5,41,719
487,1083,18,32,624
488,2957,3,141,611
489,2919,40,39,103
490,1366,11,116,478
491,2801,21,157,239
492,3537,30,13,367
493,3952,19,56,752
494,2110,25,149,290
495,776,35,13,981
496,1453,12,58,148
497,1682,47,137,731
498,2304,26,128,400
499,1852,48,179,497
500,1898,5,113,593
501,3419,19,151,287
502,3598,27,70,662
503,1328,38,49,133
504,615,29,75,796
505,245,12,110,830
506,757,19,37,453
507,824,9,122,224
508,2828,18,84,636
509,3808,29,175,607
510,2780,3,92,848
511,1847,23,98,899
512,1241,30,158,751
513,4612,46,49,825
514,474,24,39,926
515,4132,37,85,917
516,3250,37,106,410
517,1793,4,14,373
518,1735,28,45,84
519,4926,16,118,83
520,3943,13,130,481
521,945,8,21,342
522,1512,48,131,271
523,4082,25,75,5
524,4527,2,15,463
525,859,30,67,518
526,3561,40,178,13
527,230,3,24,2
528,2418,23,145,736
529,178,29,21,816
530,3929,41,164,803
531,2616,30,102,486
532,1614,11,89,796
533,2841,21,20,998
534,2948,27,27,387
535,1775,24,143,486
536,3872,31,128,167
537,82,30,146,936
538,846,1,75,405
539,2810,1,177,462
540,1217,8,37,131
541,4714,48,49,505
542,3261,42,55,977
543,3146,34,119,632
544,2264,16,128,235
545,2338,27,91,22
546,445,4,155,613
547,923,19,33,131
548,4289,29,10,451
549,4385,41,171,273
550,2631,3,137,0
551,1168,11,100,543
552,3964,8,172,660
553,3442,39,94,165
554,3513,33,86,409
555,896,8,25,296
556,3723,25,63,688
557,2061,24,152,852
558,3035,26,28,92
559,2388,26,135,628
560,1898,17,90,936
561,1800,27,76,95
562,4408,29,114,570
563,2781,43,61,899
564,1128,39,114,140
565,339,9,97,316
566,4455,14,75,562
567,1173,5,74,930
568,2809,50,74,766
569,4864,30,80,602
570,3030,28,51,832
571,2090,45,93,304
572,4298,37,23,176
573,3018,8,145,614
574,4560,15,49,653
575,449,28,164,420
576,4894,36,162,29
577,794,33,89,141
578,437,6,130,714
579,4627,12,174,222
580,4661,7,113,504
581,1621,45,112,859
582,3502,28,76,922
583,2920,7,174,829
584,4309,41,139,510
585,949,1,135,2
586,3945,24,41,453
587,1128,45,7,550
588,192,19,150,274
589,4013,32,128,360
590,3761,30,174,97
591,3731,1,141,987
592,1404,32,156,459
593,1991,20,11,127
594,1105,21,101,166
595,4801,19,174,265
596,549,30,102,942
597,3449,50,106,383
598,1862,28,106,856
599,4250,32,60,150
600,571,30,150,247
601,1785,23,171,570
602,2288,27,54,217
603,2422,37,165,594
604,3973,26,32,101
605,805,3,29,659
606,799,31,146,940
607,3276,2,88,755
608,611,10,139,299
609,1807,38,136,785
610,4239,19,162,47
611,3261,31,66,330
612,4368,29,169,761
613,3372,25,89,728
614,2474,32,69,234
615,2094,17,56,512
616,2143,45,7,927
617,4002,49,81,96
618,3081,23,139,959
619,4555,18,74,774
620,1433,11,74,350
621,2518,20,166,89
622,2858,13,100,198
623,506,24,20,99
624,1097,43,140,429
625,4180,20,153,151
626,4155,42,125,580
627,1045,28,15,725
628,2205,35,54,107
629,3903,21,91,163
630,1353,6,10,450
631,1597,7,114,817
632,576,29,147,247
633,680,23,143,954
634,4299,5,159,484
635,3713,22,177,441
636,3829,9,170,997
637,1130,32,8,813
638,3905,10,177,709
639,3194,46,142,499
640,318,43,125,984
641,3697,49,161,278
642,4502,28,144,523
643,2997,11,172,667
644,3595,7,88,185
645,3210,30,169,747
646,2543,43,24,828
647,679,45,16,487
648,1890,38,42,223
649,1644,34,162,950
650,835,46,51,499
651,2242,28,86,984
652,2356,32,78,545
653,1669,16,46,861
654,2554,39,9,100
655,281,1,119,765
656,2763,34,131,273
657,4704,41,103,887
658,4579,23,107,674
659,1247,50,144,431
660,1773,20,142,548
661,2165,18,41,511
662,192,18,129,808
663,2836,42,70,389
664,2666,40,71,210
665,2564,21,18,895
666,307,8,51,85
667,532,34,152,504
668,4218,50,113,479
669,2697,11,117,602
670,4688,43,72,762
671,59,43,119,207
672,1574,10,30,985
673,1141,8,51,294
674,1811,47,77,771
675,3199,8,7,911
676,3477,19,134,819
677,4495,1,173,624
678,2563,3,34,274
679,2853,44,169,603
680,942,32,7,376
681,4624,48,13,784
682,1775,16,12,172
683,1422,30,13,129
684,436,49,124,897
685,840,28,149,599
686,4002,28,156,757
687,4456,16,146,566
688,4960,41,84,858
689,2682,33,22,3
690,1651,25,171,495
691,1246,18,120,378
692,2262,26,179,355
693,916,6,31,467
694,2640,38,96,395
695,3890,44,75,437
696,4482,3,38,987
697,1327,43,107,827
698,3359,6,151,540
699,1586,14,138,700
700,3369,18,162,45
701,389,16,96,608
702,2792,24,144,48
703,3333,13,147,119
704,704,1,113,657
705,2821,38,171,843
706,4960,14,107,760
707,1060,17,68,73
708,4175,13,68,407
709,1299,13,19,494
710,1302,9,104,272
711,674,6,71,106
712,2360,6,5,863
713,4300,30,11,183
714,4113,37,141,344
715,4572,46,5,819
716,3583,14,9,582
717,1017,4,51,531
718,210,34,104,668
719,499,2,14,338
720,429,17,6,458
721,3640,42,27,224
722,3152,14,107,689
723,2106,17,151,374
724,1554,30,170,629
725,3207,43,51,910
726,2570,29,88,670
727,2629,7,53,524
728,1877,9,155,55
729,4995,46,54,239
730,1068,23,21,274
731,1507,36,52,837
732,3014,14,125,923
733,1668,20,6,405
734,4589,17,89,667
735,4701,32,17,591
736,4067,25,65,113
737,948,30,15,544
738,4390,49,101,113
739,1172,27,31,940
740,172,27,39,431
741,4627,46,22,501
742,1144,31,72,370
743,1860,45,45,574
744,2189,26,100,537
745,2494,14,175,86
746,3578,48,143,768
747,189,21,71,445
748,4077,28,56,604
749,158,15,123,199
750,2718,30,89,361
751,1971,25,175,486
752,246,11,74,898
753,2904,44,161,716
754,2796,11,163,83
755,3825,28,32,618
756,2378,5,111,246
757,850,28,40,883
758,1811,8,96,516
759,3987,26,151,940
760,2127,6,16,267
761,4265,32,80,815
762,3031,48,28,464
763,2308,32,69,13
764,3077,12,96,820
765,2345,6,84,217
766,620,13,153,989
767,2903,39,102,233
768,2408,40,30,44
769,4453,44,122,159
770,3005,34,167,157
771,3915,23,84,779
772,2487,41,62,99
773,3403,45,174,82
774,3597,17,161,555
775,1678,45,161,152
776,4040,48,141,992
777,1305,1,82,681
778,4094,7,125,20
779,1964,13,76,249
780,3308,14,6,188
781,1362,17,6,321
782,4295,30,115,868
783,1788,48,150,532
784,1074,47,73,793
785,1166,49,126,671
786,3600,34,155,218
787,2718,27,23,16
788,3154,25,23,515
789,4127,44,116,38
790,3056,35,177,782
791,660,9,32,800
792,4643,6,79,700
793,2583,26,54,141
794,1130,38,143,345
795,2275,39,59,302
796,4467,27,141,129
797,1469,40,146,467
798,2103,31,117,345
799,3267,3,153,833
800,2472,24,52,175
801,1152,15,62,447
802,93,6,141,193
803,2567,11,22,943
804,1282,30,16,336
805,2901,35,128,785
806,2800,48,20,178
807,3178,38,169,751
808,4512,43,152,643
809,2605,40,24,80
810,3882,29,147,160
811,2414,23,29,406
812,1545,42,149,180
813,3531,42,16,268
814,2647,3,113,838
815,4785,26,174,569
816,2059,14,43,488
817,4515,19,75,493
818,1146,21,51,190
819,911,21,29,320
820,3307,9,122,359
821,1567,13,37,553
822,2396,41,33,94
823,3006,44,7,355
824,4508,46,43,600
825,4249,37,8,620
826,92,38,169,369
827,3993,45,99,744
828,331,45,138,295
829,955,24,142,861
830,3781,38,16,101
831,2602,46,122,20
832,2978,11,70,82
833,4290,29,135,975
834,530,45,68,672
835,2893,44,39,366
836,1267,48,156,709
837,1474,38,179,553
838,4735,41,116,548
839,1598,17,56,711
840,2526,48,38,384
841,4794,26,88,332
842,3762,26,84,665
843,2743,12,115,975
844,4636,18,157,880
845,4426,9,161,38
846,470,3,96,46
847,3831,10,45,311
848,534,43,91,109
849,4563,2,55,185
850,4056,8,130,923
851,3680,43,150,184
852,4088,18,45,982
853,762,39,103,326
854,891,31,111,727
855,2356,14,28,109
856,1956,39,51,199
857,2972,33,32,172
858,1673,29,40,320
859,2837,44,25,515
860,4928,33,73,956
861,4940,35,158,60
862,3645,2,48,170
863,2298,35,165,872
864,4062,32,158,146
865,3167,36,125,341
866,1320,46,154,867
867,184,50,152,128
868,1284,23,6,658
869,2847,5,45,50
870,2234,47,58,575
871,4089,16,150,574
872,1433,40,137,284
873,3141,24,50,914
874,1797,40,79,554
875,4723,28,153,581
876,2056,25,154,984
877,3337,7,7,255
878,783,38,13,806
879,1508,7,6,22
880,4871,22,32,768
881,3855,22,38,60
882,677,27,63,206
883,1831,33,14,792
884,4091,45,87,131
885,4307,32,97,876
886,1361,39,6,875
887,4586,32,52,0
888,2687,1,138,551
889,191,10,48,276
890,843,45,40,758
891,335,4,140,938
892,1111,29,87,137
893,579,7,14,321
894,62,38,165,528
895,387,6,106,635
896,1170,11,97,908
897,2201,9,23,602
898,4715,30,22,245
899,1684,22,119,495
900,487,39,27,475
901,3733,9,133,112
902,541,38,63,125
903,2061,46,111,265
904,4247,33,135,240
905,1239,26,14,947
906,991,16,127,137
907,4468,9,53,245
908,2300,23,60,237
909,3908,15,94,302
910,4289,19,148,520
911,1081,42,43,993
912,198,16,113,45
913,2195,25,100,372
914,1599,35,48,870
915,1601,13,12,123
916,3693,46,140,67
917,3866,7,49,876
918,684,34,143,437
919,3084,14,101,501
920,3990,23,157,323
921,333,23,21,643
922,1772,17,87,360
923,4201,13,83,970
924,2722,27,60,384
925,807,2,48,748
926,1065,37,57,724
927,889,30,167,570
928,2924,4,43,664
929,321,30,134,904
930,3958,3,102,792
931,2383,14,29,593
932,3232,11,170,454
933,2312,40,84,749
934,3602,23,36,409
935,1501,41,83,823
936,1569,48,82,48
937,3282,32,173,977
938,1520,3,83,576
939,1919,42,75,700
940,4090,1,11,520
941,1866,9,22,393
942,1406,48,21,879
943,2724,9,121,394
944,5,12,108,95
945,1169,1,81,84
946,2399,16,63,35
947,2631,30,15,951
948,348,8,129,415
949,4221,46,55,594
950,1814,46,11,967
951,3343,10,159,674
952,2575,33,41,725
953,3826,38,9,899
954,4594,41,66,220
955,53,22,78,829
956,149,16,94,318
957,503,19,83,478
958,870,11,59,391
959,3522,11,148,118
960,4315,14,96,587
961,3872,39,78,68
962,1301,26,60,444
963,2500,44,178,93
964,4034,20,65,318
965,3290,20,108,316
966,4834,5,121,866
967,3854,1,82,292
968,2452,11,37,765
969,4386,47,59,515
970,339,10,22,55
971,2825,47,144,554
972,1694,28,78,276
973,987,45,25,569
974,3491,47,101,761
975,2734,34,158,143
976,3768,13,153,308
977,4077,44,154,17
978,2007,25,50,824
979,3108,23,45,350
980,4469,36,9,165
981,3331,12,48,890
982,3042,47,148,543
983,531,45,167,111
984,924,2,9,224
985,4119,20,66,786
986,241,16,94,851
987,1897,14,30,815
988,3325,2,65,73
989,814,49,73,153
990,4751,16,54,109
991,783,4,129,337
992,4056,43,40,940
993,8,13,156,506
994,3774,38,34,172
995,4671,49,73,782
996,3140,1,26,995
997,3790,9,37,145
998,4052,21,73,798
999,518,18,100,398
1000,3191,43,54,101
1001,3103,32,27,988
1002,4579,46,142,526
1003,2717,34,168,248
1004,579,20,118,576
1005,4483,43,21,484
1006,4508,2,95,360
1007,1866,4,140,982
1008,1377,45,176,173
1009,2939,38,126,842
1010,906,7,138,357
1011,965,22,75,911
1012,1977,20,94,438
1013,4760,35,169,29
1014,4921,4,58,476
1015,1888,20,27,552
1016,2448,35,55,66
1017,992,33,62,487
1018,3557,21,151,784
1019,3960,45,159,537
1020,3605,14,29,117
1021,1084,31,153,840
1022,435,22,127,720
1023,21,48,29,356
1024,2923,30,129,247
1025,1926,29,75,959
1026,1473,36,39,94
1027,1100,49,74,313
1028,2638,42,108,606
1029,390,29,147,458
1030,3414,7,156,101
1031,2616,32,53,725
1032,1355,13,72,130
1033,4522,13,11,375
1034,6,14,98,893
1035,191,6,132,880
1036,148,16,85,411
1037,4501,41,42,479
1038,4354,48,98,643
1039,3551,21,49,935
1040,4920,44,107,101
1041,4106,16,141,970
1042,1111,5,59,56
1043,3834,24,56,192
1044,4934,43,115,430
1045,625,1,53,766
1046,4126,10,74,463
1047,2176,43,115,161
1048,3150,47,135,940
1049,1079,35,72,31
1050,3552,31,105,171
1051,2353,15,42,96
1052,546,11,53,138
1053,1196,9,96,291
1054,2070,2,12,140
1055,3359,44,120,312
1056,2439,30,99,979
1057,617,16,177,664
1058,4245,48,33,197
1059,3344,1,83,420
1060,1812,48,28,857
1061,172,6,153,131
1062,4143,46,117,364
1063,626,11,27,537
1064,4064,33,99,465
1065,2255,17,160,268
1066,453,34,164,71
1067,1419,46,154,946
1068,754,40,71,302
1069,3373,25,122,380
1070,2724,22,77,416
1071,3011,26,10,207
1072,2912,27,69,169
1073,1226,38,26,742
1074,168,9,113,895
1075,3686,37,120,286
1076,86,5,59,167
1077,1678,18,174,214
1078,1983,22,23,115
1079,4945,46,112,143
1080,1487,12,133,311
1081,442,44,173,329
1082,271,22,52,547
1083,344,6,164,222
1084,1207,36,146,235
1085,3082,27,21,863
1086,1258,47,100,468
1087,2292,15,34,847
1088,1533,17,125,695
1089,3423,3,115,988
1090,4363,10,102,241
1091,1654,25,156,303
1092,4989,21,124,492
1093,239,40,146,719
1094,915,9,38,569
1095,1439,24,115,782
1096,3017,32,90,967
1097,1461,3,165,910
1098,3080,33,112,148
1099,2259,43,122,575
1100,367,45,115,468
1101,2992,12,62,134
1102,3742,29,22,819
1103,86,21,115,18
1104,2494,39,107,892
1105,4716,34,144,597
1106,132,33,134,685
1107,904,32,32,549
1108,3457,20,124,140
1109,1222,3,127,985
1110,1764,4,46,299
1111,2805,17,7,405
1112,1227,50,91,710
1113,1285,17,145,499
1114,690,19,61,34
1115,4783,4,135,642
1116,4882,29,118,738
1117,4436,17,42,366
1118,4508,22,63,655
1119,1997,2,32,428
1120,4382,42,30,655
1121,1110,12,88,705
1122,4946,45,95,357
1123,430,11,69,848
1124,4127,40,78,677
1125,3782,29,65,23
1126,603,20,5,981
1127,440,5,164,433
1128,985,25,36,214
1129,1919,34,159,363
1130,4508,12,145,466
1131,528,28,21,824
1132,4406,34,160,235
1133,2997,6,93,122
1134,3468,19,56,567
1135,1362,12,118,597
1136,704,25,168,464
1137,663,13,51,833
1138,365,17,164,77
1139,923,12,36,603
1140,3857,3,99,332
1141,176,24,127,247
1142,936,8,111,613
1143,382,48,132,336
1144,306,36,84,72
1145,4698,26,93,829
1146,2391,45,44,743
1147,2204,8,32,525
1148,4808,32,85,705
1149,1466,32,35,233
1150,3272,1,123,187
1151,403,3,91,276
1152,4710,1,35,418
1153,2671,15,158,541
1154,1802,50,8,976
1155,2651,20,111,422
1156,177,3,111,24
1157,4545,15,111,427
1158,743,37,121,186
1159,2349,21,83,742
1160,4403,42,27,354
1161,751,39,109,133
1162,869,23,175,130
1163,4063,40,158,931
1164,3968,35,120,111
1165,214,18,59,878
1166,1618,17,179,640
1167,2531,31,148,417
1168,3334,48,62,576
1169,1598,26,111,25
1170,512,22,5,529
1171,253,45,131,931
1172,4134,36,177,645
1173,629,35,98,714
1174,3477,11,138,765
1175,987,27,56,939
1176,1726,34,23,551
1177,2094,18,106,29
1178,1702,27,175,589
1179,305,4,23,841
1180,4079,17,43,760
1181,2281,6,112,286
1182,4341,42,164,441
1183,2808,11,69,438
1184,2887,5,51,163
1185,3455,18,145,334
1186,1025,25,78,413
1187,4313,10,168,559
1188,2976,41,159,589
1189,507,16,76,622
1190,4857,10,156,342
1191,2952,10,152,784
1192,1054,36,90,282
1193,2675,21,13,363
1194,2568,14,124,253
1195,1905,8,171,446
1196,4371,1,118,637
1197,4588,16,5,972
1198,4923,26,15,397
1199,2895,49,109,921
1200,1101,42,5,170
1201,3662,6,85,202
1202,1637,39,127,485
1203,1456,50,176,640
1204,3614,2,55,279
1205,39,9,21,403
1206,3085,5,107,455
1207,4240,40,111,7
1208,2732,5,124,797
1209,2416,47,116,381
1210,759,8,27,17
1211,4343,5,173,501
1212,3117,5,130,844
1213,765,17,63,121
1214,2423,9,110,493
1215,1315,34,98,125
1216,4303,33,29,878
1217,3996,22,149,739
1218,4030,21,114,594
1219,3694,43,23,396
1220,3186,15,86,488
1221,2867,1,50,431
1222,1318,7,39,187
1223,701,23,27,153
1224,4384,47,113,123
1225,2202,6,48,904
1226,1594,20,13,865
1227,3988,26,164,308
1228,4946,42,94,606
1229,4146,12,97,121
1230,1231,13,46,873
1231,2613,47,151,70
1232,3138,49,97,904
1233,1909,13,121,103
1234,1791,2,131,665
1235,2929,32,39,755
1236,1089,50,140,370
1237,2382,31,115,672
1238,4128,11,47,160
1239,4964,37,49,888
1240,2946,4,138,691
1241,3570,34,17,679
1242,1166,16,15,387
1243,601,31,106,411
1244,2026,25,139,53
1245,1585,39,59,451
1246,988,8,23,750
1247,1966,8,111,865
1248,1440,34,10,560
1249,4616,15,13,871
1250,869,5,152,879
1251,2064,19,29,645
1252,1130,10,54,800
1253,4379,9,76,132
1254,4457,29,170,978
1255,3730,40,70,145
1256,1935,37,61,130
1257,1077,19,26,353
1258,1640,13,60,633
1259,1393,46,40,513
1260,31,40,72,64
1261,704,16,5,802
1262,869,30,52,434
1263,233,5,165,835
1264,951,33,156,34
1265,59,19,62,327
1266,2819,19,52,427
1267,3601,17,103,796
